year,suicides_per_100k_pop,suicides_increased,violient_crime_per_100k_1yp,violient_crime_per_100k_2yp,violient_crime_per_100k_3yp,violient_crime_per_100k_4yp,violient_crime_per_100k_5yp,cci_1yp,cci_2yp,cci_3yp,cci_4yp,cci_5yp,weekly_religious_service_participation_percentage_1yp,weekly_religious_service_participation_percentage_2yp,weekly_religious_service_participation_percentage_3yp,weekly_religious_service_participation_percentage_4yp,weekly_religious_service_participation_percentage_5yp,unemployment_rate_1yp,unemployment_rate_2yp,unemployment_rate_3yp,unemployment_rate_4yp,unemployment_rate_5yp,gov_spending_1yp,gov_spending_2yp,gov_spending_3yp,gov_spending_4yp,gov_spending_5yp
1981,12.98621838,TRUE,,,,,,98.04596,97.28449,98.18937,99.68053,100.1078,21.24,20.6,19.96,22.36,20.16,6.106246,6.265499,6.442533,5.65,4.75,35.40342182,33.56796379,33.74015638,34.55091156,35.50953181
1982,13.15092059,TRUE,,,,,,97.54023,98.04596,97.28449,98.18937,99.68053,20.66,21.24,20.6,19.96,22.36,5.783571,6.106246,6.265499,6.442533,5.65,35.59788571,35.40342182,33.56796379,33.74015638,34.55091156
1983,13.06262597,FALSE,,,,,,98.23954,97.54023,98.04596,97.28449,98.18937,20.07,20.66,21.24,20.6,19.96,7.156132,5.783571,6.106246,6.265499,6.442533,37.84842943,35.59788571,35.40342182,33.56796379,33.74015638
1984,13.37852858,TRUE,,,,,,101.0377,98.23954,97.54023,98.04596,97.28449,23.18,20.07,20.66,21.24,20.6,9.961594,7.156132,5.783571,6.106246,6.265499,37.92220335,37.84842943,35.59788571,35.40342182,33.56796379
1985,13.34070305,FALSE,,,,,,101.0231,101.0377,98.23954,97.54023,98.04596,24,23.18,20.07,20.66,21.24,8.98968,9.961594,7.156132,5.783571,6.106246,36.72854456,37.92220335,37.84842943,35.59788571,35.40342182
1986,13.85583509,TRUE,558.1,,,,,100.8543,101.0231,101.0377,98.23954,97.54023,25.53,24,23.18,20.07,20.66,8.262986,8.98968,9.961594,7.156132,5.783571,37.32456161,36.72854456,37.92220335,37.84842943,35.59788571
1987,13.67233997,FALSE,620.1,558.1,,,,100.5084,100.8543,101.0231,101.0377,98.23954,23.43,25.53,24,23.18,20.07,8.081038,8.262986,8.98968,9.961594,7.156132,37.76730418,37.32456161,36.72854456,37.92220335,37.84842943
1988,13.36599913,FALSE,612.5,620.1,558.1,,,100.1365,100.5084,100.8543,101.0231,101.0377,20.7,23.43,25.53,24,23.18,8.10804,8.081038,8.262986,8.98968,9.961594,37.55176712,37.76730418,37.32456161,36.72854456,37.92220335
1989,13.16763041,FALSE,640.6,612.5,620.1,558.1,,100.9621,100.1365,100.5084,100.8543,101.0231,19.55,20.7,23.43,25.53,24,7.227954,8.10804,8.081038,8.262986,8.98968,36.69150174,37.55176712,37.76730418,37.32456161,36.72854456
1990,13.43540092,TRUE,666.9,640.6,612.5,620.1,620.1,100.6377,100.9621,100.1365,100.5084,100.8543,23.25,19.55,20.7,23.43,25.53,6.179825,7.227954,8.10804,8.081038,8.262986,36.70233516,36.69150174,37.55176712,37.76730418,37.32456161
1991,13.21714494,FALSE,729.6,666.9,640.6,612.5,612.5,97.50233,100.6377,100.9621,100.1365,100.5084,22.92,23.25,19.55,20.7,23.43,6.923,6.179825,7.227954,8.10804,8.081038,37.66365025,36.70233516,36.69150174,37.55176712,37.76730418
1992,12.93525031,FALSE,758.2,729.6,666.9,640.6,640.6,97.88531,97.50233,100.6377,100.9621,100.1365,22.97,22.92,23.25,19.55,20.7,9.576522,6.923,6.179825,7.227954,8.10804,38.58012702,37.66365025,36.70233516,36.69150174,37.55176712
1993,13.0554411,TRUE,757.7,758.2,729.6,666.9,666.9,100.1914,97.88531,97.50233,100.6377,100.9621,21.92,22.97,22.92,23.25,19.55,10.72814,9.576522,6.923,6.179825,7.227954,39.3677564,38.58012702,37.66365025,36.70233516,36.69150174
1994,12.9348197,FALSE,747.1,757.7,758.2,729.6,729.6,100.2297,100.1914,97.88531,97.50233,100.6377,20.87,21.92,22.97,22.92,23.25,10.87467,10.72814,9.576522,6.923,6.179825,38.80852304,39.3677564,38.58012702,37.66365025,36.70233516
1995,12.86044574,FALSE,713.6,747.1,757.7,758.2,758.2,101.0468,100.2297,100.1914,97.88531,97.50233,19.75,20.87,21.92,22.97,22.92,9.72219,10.87467,10.72814,9.576522,6.923,37.84461818,38.80852304,39.3677564,38.58012702,37.66365025
